epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,29774.7,0.3272,0.79367,0.86589,0.40245,0.91393,0.38702,0.38003,inf,1.18427,0.8305,0.002575,0.002575,0.002575
77,30165.3,0.32366,0.79905,0.86582,0.40244,0.91389,0.38707,0.38013,0.19787,1.17999,0.82925,0.002476,0.002476,0.002476
78,30556.3,0.32278,0.79417,0.86447,0.40251,0.91397,0.38733,0.38045,0.19749,1.18164,0.82871,0.002377,0.002377,0.002377
79,30947.7,0.32359,0.79633,0.86534,0.40256,0.91409,0.38723,0.38039,0.19713,1.18516,0.82838,0.002278,0.002278,0.002278
80,31338.8,0.32156,0.79722,0.86575,0.40262,0.914,0.38717,0.38035,0.19632,1.18577,0.82776,0.002179,0.002179,0.002179
81,31729.3,0.32078,0.79228,0.86441,0.40264,0.91392,0.38683,0.38001,0.19574,1.18689,0.82717,0.00208,0.00208,0.00208
82,32119.5,0.31727,0.78988,0.86213,0.4027,0.91429,0.38664,0.37993,0.19458,1.1859,0.82662,0.001981,0.001981,0.001981
83,32510.5,0.31215,0.7911,0.86149,0.40271,0.9143,0.38663,0.37998,0.19299,1.18361,0.82573,0.001882,0.001882,0.001882
84,32900.4,0.31193,0.78852,0.85999,0.40273,0.91425,0.38674,0.38016,0.19205,1.1815,0.82541,0.001783,0.001783,0.001783
85,33290.6,0.31037,0.78357,0.85784,0.40269,0.91413,0.38696,0.38045,0.19145,1.18231,0.82503,0.001684,0.001684,0.001684
86,33681,0.30868,0.78861,0.8588,0.4027,0.91422,0.38699,0.38059,0.19079,1.18304,0.82462,0.001585,0.001585,0.001585
87,34071.3,0.30667,0.7877,0.85787,0.40266,0.9141,0.38701,0.38062,0.19048,1.18248,0.82447,0.001486,0.001486,0.001486
88,34461.6,0.30496,0.78698,0.85835,0.40259,0.914,0.38694,0.38062,0.19001,1.18295,0.82412,0.001387,0.001387,0.001387
89,34852.1,0.30271,0.7868,0.85838,0.40256,0.91381,0.38687,0.38056,0.18959,1.18414,0.82393,0.001288,0.001288,0.001288
90,35241.6,0.29943,0.77894,0.85507,0.40255,0.91362,0.38666,0.38038,0.18911,1.18707,0.82373,0.001189,0.001189,0.001189
91,35671.9,0.22124,0.68165,0.80683,0.40256,0.9137,0.38651,0.38025,0.18865,1.1873,0.82353,0.00109,0.00109,0.00109
92,36057.8,0.21715,0.67891,0.80554,0.40249,0.91349,0.38648,0.38025,0.18778,1.18723,0.82307,0.000991,0.000991,0.000991
93,36443.1,0.21405,0.68022,0.80373,0.4025,0.91345,0.38645,0.38032,0.18711,1.18681,0.82257,0.000892,0.000892,0.000892
94,36828.3,0.21117,0.67667,0.80239,0.40244,0.91331,0.38685,0.38082,0.18632,1.18657,0.82207,0.000793,0.000793,0.000793
95,37213.3,0.20928,0.67177,0.8011,0.40237,0.91301,0.38681,0.38079,0.18544,1.18747,0.82153,0.000694,0.000694,0.000694
96,37598.9,0.20946,0.67406,0.80201,0.40229,0.91264,0.38667,0.38072,0.18479,1.18906,0.82106,0.000595,0.000595,0.000595
97,37984,0.20607,0.67138,0.79995,0.4022,0.9123,0.38659,0.38069,0.18411,1.18992,0.82062,0.000496,0.000496,0.000496
98,38369.6,0.20355,0.6717,0.7992,0.40211,0.91201,0.38655,0.38065,0.18358,1.19046,0.82022,0.000397,0.000397,0.000397
99,38754.2,0.20383,0.67171,0.7988,0.40199,0.91163,0.38649,0.38062,0.18306,1.19125,0.8199,0.000298,0.000298,0.000298
100,39138.2,0.20034,0.66939,0.79698,0.40188,0.91112,0.38645,0.38058,0.18262,1.19223,0.81956,0.000199,0.000199,0.000199
